"MotherID","MotherID_unique","BirthSeason","Total_Offspring_Count","TotalSons","SonID","DSB_Score","SSB_Score","TotalMounts","Scan_Count","adjusted_DSB","adjusted_SSB","adjusted_TM"
"ID_2056","ID_2056a",2006,10,5,"ID_7739",9,0,9,89,4.616828838,0,4.616828838
"ID_2072","ID_2072a",1999,6,1,"ID_1854",0,2,2,14,0,1.745005739,1.745005739
"ID_2077","ID_2077a",2009,5,4,"ID_3713",0,0,0,2,0,0,0
"ID_2077","ID_2077b",2009,5,4,"ID_4085",0,5,5,47,0,2.99025561,2.99025561
"ID_2082","ID_2082a",1989,10,4,"ID_1200",0,1,1,18,0,0.79663977,0.79663977
"ID_2133","ID_2133a",2005,7,3,"ID_1695",0,15,15,42,0,9.240724816,9.240724816
"ID_2142","ID_2142a",1996,9,8,"ID_7712",0,4,4,39,0,2.514039959,2.514039959
"ID_2150","ID_2150a",2003,10,5,"ID_1746",0,0,0,29,0,0,0
"ID_2150","ID_2150b",2003,10,5,"ID_3340",4,2,6,4,6.64385619,3.321928095,9.965784285
"ID_2150","ID_2150c",2003,10,5,"ID_4434",0,0,0,0,0,0,0
"ID_2184","ID_2184a",1993,13,6,"ID_4025",6,10,16,148,2.764643525,4.607739209,7.372382735
"ID_2197","ID_2197a",2014,4,3,"ID_7346",2,1,3,23,1.468722271,0.734361136,2.203083407
"ID_2215","ID_2215a",2008,7,3,"ID_5731",0,3,3,11,0,2.880757703,2.880757703
"ID_2216","ID_2216a",2008,4,3,"ID_6052",0,4,4,24,0,2.898107101,2.898107101
"ID_2216","ID_2216b",2008,4,3,"ID_8681",0,3,3,13,0,2.693135153,2.693135153
"ID_2224","ID_2224a",2007,5,4,"ID_4661",0,0,0,0,0,0,0
"ID_2235","ID_2235a",1998,12,7,"ID_1979",0,3,3,58,0,1.701231925,1.701231925
"ID_2250","ID_2250a",2014,3,2,"ID_4655",3,5,8,73,1.610026939,2.683378231,4.293405169
"ID_2251","ID_2251a",2007,11,2,"ID_3152",1,0,1,3,2.095903274,0,2.095903274
"ID_2251","ID_2251b",2007,11,2,"ID_5795",0,0,0,2,0,0,0
"ID_2281","ID_2281a",2006,11,8,"ID_1068",0,0,0,9,0,0,0
"ID_2292","ID_2292a",2012,7,5,"ID_2725",0,0,0,0,0,0,0
"ID_2292","ID_2292b",2012,7,5,"ID_7674",0,0,0,0,0,0,0
"ID_2292","ID_2292c",2012,7,5,"ID_8704",2,0,0,1,NA,NA,NA
"ID_2332","ID_2332a",2003,2,2,"ID_4290",0,2,2,77,0,1.060169538,1.060169538
"ID_2389","ID_2389a",2001,9,5,"ID_4218",32,15,47,409,12.25244646,5.743334278,17.99578074
"ID_2395","ID_2395a",2007,8,4,"ID_9678",0,1,0,1,0,NA,NA
"ID_2405","ID_2405a",2004,11,6,"ID_2386",0,0,0,0,0,0,0
"ID_2467","ID_2467a",2006,8,3,"ID_2478",1,10,11,84,0.519675084,5.196750842,5.716425926
"ID_2487","ID_2487a",2005,10,5,"ID_9638",0,0,0,1,0,0,0
"ID_2498","ID_2498a",2011,6,4,"ID_1308",0,0,0,31,0,0,0
"ID_2534","ID_2534a",2004,9,3,"ID_1895",32,5,37,59,18.07039763,2.82349963,20.89389726
"ID_2534","ID_2534b",2004,9,3,"ID_5545",2,29,31,123,0.956981247,13.87622808,14.83320933
"ID_2580","ID_2580a",2000,13,5,"ID_7771",0,3,3,105,0,1.48427463,1.48427463
"ID_2592","ID_2592a",2000,11,5,"ID_4748",0,6,6,105,0,2.968549261,2.968549261
"ID_2592","ID_2592b",2000,11,5,"ID_7487",2,1,3,21,1.512608391,0.756304196,2.268912587
"ID_2592","ID_2592c",2000,11,5,"ID_9420",3,14,17,96,1.513415495,7.062605645,8.57602114
"ID_2615","ID_2615a",1999,5,1,"ID_4783",5,4,9,61,2.800602949,2.240482359,5.041085307
"ID_2624","ID_2624a",1989,14,6,"ID_9882",0,1,1,0,0,0,0
"ID_2692","ID_2692a",2015,3,1,"ID_7043",2,0,2,0,0,0,0
"ID_2733","ID_2733a",1990,10,7,"ID_2039",6,1,7,54,3.463415846,0.577235974,4.040651821
"ID_2752","ID_2752a",2007,7,5,"ID_2329",0,6,6,46,0,3.608462932,3.608462932
"ID_2752","ID_2752b",2007,7,5,"ID_9437",14,6,20,43,8.570719534,3.673165514,12.24388505
"ID_2773","ID_2773a",1993,7,5,"ID_4179",0,0,0,31,0,0,0
"ID_2827","ID_2827a",2010,9,4,"ID_6629",0,0,0,1,0,0,0
"ID_2852","ID_2852a",1990,8,1,"ID_7710",1,9,10,209,0.431007306,3.879065753,4.310073059
"ID_2938","ID_2938a",2015,1,1,"ID_6009",0,0,0,0,0,0,0
"ID_2944","ID_2944a",2008,5,4,"ID_4824",0,6,6,5,0,8.584059348,8.584059348
"ID_2944","ID_2944b",2008,5,4,"ID_5226",0,1,1,2,0,3.321928095,3.321928095
"ID_2944","ID_2944c",2008,5,4,"ID_9249",0,0,0,0,0,0,0
"ID_2953","ID_2953a",2011,5,2,"ID_7863",6,12,18,56,3.432125096,6.864250192,10.29637529
"ID_2953","ID_2953b",2011,5,2,"ID_8090",0,0,0,0,0,0,0
"ID_2974","ID_2974a",2005,6,3,"ID_4868",0,1,1,0,0,0,0
"ID_2974","ID_2974b",2005,6,3,"ID_6320",0,1,1,53,0,0.579953601,0.579953601
"ID_3014","ID_3014a",2017,1,1,"ID_5116",0,0,0,0,0,0,0
"ID_3021","ID_3021a",2003,4,2,"ID_9813",4,9,13,94,2.02723812,4.561285769,6.588523889
"ID_3040","ID_3040a",1993,16,10,"ID_2808",1,0,1,21,0.756304196,0,0.756304196
"ID_3040","ID_3040b",1993,16,10,"ID_8318",0,13,13,63,0,7.224869135,7.224869135
"ID_3100","ID_3100a",1991,8,5,"ID_7408",0,0,0,17,0,0,0
"ID_3131","ID_3131a",2013,3,2,"ID_7114",0,0,0,0,0,0,0
"ID_3147","ID_3147a",2005,6,4,"ID_2398",0,0,0,54,0,0,0
"ID_3147","ID_3147b",2005,6,4,"ID_9690",1,3,4,82,0.522516858,1.567550573,2.09006743
"ID_3150","ID_3150a",2004,8,6,"ID_1593",0,0,0,9,0,0,0
"ID_3217","ID_3217a",2001,4,3,"ID_1909",0,2,2,0,0,0,0
"ID_3265","ID_3265a",2012,2,2,"ID_7204",0,3,3,37,0,1.913019195,1.913019195
"ID_3273","ID_3273a",2010,7,4,"ID_6522",14,3,17,108,6.884939729,1.475344228,8.360283957
"ID_3273","ID_3273b",2010,7,4,"ID_7688",2,0,2,8,2.21461873,0,2.21461873
"ID_3280","ID_3280a",1992,10,5,"ID_9755",2,1,3,140,0.931910849,0.465955425,1.397866274
"ID_3311","ID_3311a",1989,12,7,"ID_4180",5,2,7,200,2.172939948,0.869175979,3.042115928
"ID_3316","ID_3316a",2000,3,1,"ID_5904",0,0,0,0,0,0,0
