AnimalID,Sex,BirthSeason,offspring_count
ID_7710,M,2007,0
ID_9428,F,2007,7
ID_9882,M,2007,20
ID_3381,M,2007,9
ID_2752,F,2007,7
ID_6720,M,2007,18
ID_5846,F,2007,10
ID_7534,F,2007,3
ID_6585,F,2007,5
ID_4168,F,2007,6
ID_4533,M,2007,3
ID_4739,F,2007,9
ID_8341,F,2007,4
ID_1347,M,2007,0
ID_8870,M,2007,10
ID_4184,F,2007,9
ID_2273,M,2007,16
ID_2395,F,2007,8
ID_7626,F,2007,8
ID_6814,M,2007,8
ID_4290,M,2007,5
ID_8360,M,2007,0
ID_6002,F,2007,6
ID_6122,F,2007,10
ID_2224,F,2007,5
ID_8325,F,2007,9
ID_8254,M,2007,5
ID_4489,F,2007,8
ID_9379,M,2008,13
ID_2944,F,2008,5
ID_8777,M,2008,0
ID_9354,F,2008,2
ID_7736,M,2008,6
ID_7619,M,2008,1
ID_4215,F,2008,8
ID_3340,M,2008,6
ID_2215,F,2008,7
ID_6496,F,2008,8
ID_5350,M,2008,3
ID_2199,M,2008,8
ID_9567,F,2008,4
ID_2216,F,2008,4
ID_5904,F,2008,0
ID_9178,F,2008,11
ID_7712,M,2008,11
ID_1200,M,2008,1
ID_2092,M,2008,15
ID_4251,F,2008,5
ID_6864,F,2008,9
ID_2696,M,2008,0
ID_8678,M,2008,14
ID_1980,F,2008,5
ID_1931,F,2008,8
ID_6139,F,2008,4
ID_2877,M,2009,10
ID_4847,M,2009,3
ID_5493,F,2009,4
ID_2077,F,2009,5
ID_5001,F,2009,6
ID_8127,M,2009,16
ID_1161,F,2009,0
ID_8378,M,2009,8
ID_9804,M,2009,8
ID_8594,M,2009,10
ID_1227,F,2009,9
ID_3997,M,2009,7
ID_7052,F,2009,8
ID_9415,M,2009,1
ID_4218,M,2009,21
ID_5357,F,2009,9
ID_1604,F,2009,6
ID_4545,F,2009,6
ID_5894,F,2009,9
ID_3540,F,2009,7
ID_1833,M,2009,4
ID_2985,M,2009,5
ID_1258,F,2009,10
ID_6433,F,2009,4
ID_7761,M,2009,13
ID_5205,M,2009,11
ID_6402,F,2009,7
ID_8067,F,2009,2
ID_6638,M,2009,6
ID_6946,F,2010,2
ID_8954,M,2010,2
ID_6527,M,2010,2
ID_3273,F,2010,7
ID_9911,F,2010,8
ID_4564,F,2010,7
ID_5668,F,2010,5
ID_8269,M,2010,14
ID_6447,M,2010,5
ID_9086,M,2010,6
ID_4783,M,2010,4
ID_6877,F,2010,7
ID_8541,M,2010,5
ID_1292,M,2010,0
ID_1927,F,2010,6
ID_7251,F,2010,4
ID_1895,M,2010,0
ID_8593,F,2010,10
ID_1068,M,2010,4
ID_6520,F,2010,7
ID_1100,M,2010,8
ID_4187,F,2010,8
ID_9825,F,2010,5
ID_1359,M,2010,20
ID_2827,F,2010,9
