Date_ymd,Time_Absolute_hms,Time_Relative_hms,Time_Relative_s,Time_Lag_s,Duration_s,Observation_Name,Log_File_Name,Actor,Behavior,Receiver,Event_Type,Observer_ID,Coding_Scheme,Group
17/02/2025,07:43:54,00:06:12,372.883,1.664,206.572,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Groom (give)""",ID_2692,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:47:21,00:09:39,579.455,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Groom (give)""",ID_2692,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:47:21,00:09:39,579.455,0.698,2.528,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:47:23,00:09:41,581.983,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:47:23,00:09:41,581.983,0.449,37.727,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:48:01,00:10:19,619.71,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:48:01,00:10:19,619.71,3.428,353.347,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""OUT OF SIGHT""",ID_3368,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:53:54,00:16:13,973.057,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""OUT OF SIGHT""",ID_3368,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:53:54,00:16:13,973.057,0.882,8.188,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:54:03,00:16:21,981.245,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:54:03,00:16:21,981.245,5.193,16.212,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:54:19,00:16:37,997.456,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:54:19,00:16:37,997.456,1.347,8.038,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""High aggression (give)""",ID_5171,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:54:27,00:16:45,1005.494,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""High aggression (give)""",ID_5171,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:54:27,00:16:45,1005.494,0.549,12.133,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:54:39,00:16:57,1017.627,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:54:39,00:16:57,1017.627,0.565,23.999,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:55:03,00:17:21,1041.626,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:55:03,00:17:21,1041.626,0.932,15.662,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:55:19,00:17:37,1057.288,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:55:19,00:17:37,1057.288,1.614,19.923,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Huddling""",ID_5171,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:55:39,00:17:57,1077.212,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Huddling""",ID_5171,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:55:39,00:17:57,1077.212,2.446,27.762,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""High aggression (give)""",ID_8145,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:56:06,00:18:24,1104.974,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""High aggression (give)""",ID_8145,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:56:06,00:18:24,1104.974,3.362,421.03,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""OUT OF SIGHT""",ID_3368,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:03:07,00:25:26,1526.004,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""OUT OF SIGHT""",ID_3368,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:03:07,00:25:26,1526.004,2.529,6.989,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Stationary alone""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:03:14,00:25:32,1532.993,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Stationary alone""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:03:14,00:25:32,1532.993,2.263,8.968,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""High aggression (receive)""",ID_8145,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:03:23,00:25:41,1541.961,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""High aggression (receive)""",ID_8145,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:03:23,00:25:41,1541.961,0.665,6.989,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:03:30,00:25:48,1548.95,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:03:30,00:25:48,1548.95,2.695,53.373,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Stationary alone""",NA,State start,1590,Female Rhesus Macaques,V
