"individual_id","image_file","red_ratio","red_dominance","red_minus_green","red_ratio_residual","red_dominance_residual","overall_brightness","contrast","overexposed_pct","raw_red","raw_green","raw_blue","photo_date"
"ID_6272","ID_6272.jpg",0.455376239767379,1.5154687058717,0.150443784263178,0.0298482619991908,0.0591673296920946,0.323763060024417,0.123402777210715,0,0.442302014548497,0.291858230285319,0.237128935239435,"31/01/2025"
"ID_6402","ID_6402.png",0.411280517777562,1.39882369921339,0.240538834845814,0.00657862030634176,0.0275885515587182,0.683766524244425,0.201457107147773,0.369589345172031,0.843659550390633,0.603120715544819,0.604519306797821,"03/02/2025"
"ID_1931","ID_1931.png",0.466843064156973,1.64147722620105,0.201701326995445,0.0417724849672435,0.195053889052096,0.368527761272859,0.157338001172285,0,0.516133887898594,0.314432560903149,0.275016835016835,"03/02/2025"
"ID_1480","ID_1480.png",0.409436324086068,1.40634225534642,0.164698297113816,-0.0114898672687909,-0.017959462213401,0.464066825956688,0.193762568987471,0.0270793036750484,0.570017446049986,0.40531914893617,0.416863882883908,"22/01/2025"
"ID_1516","ID_1516.png",0.414410295599052,1.37115432574074,0.152913427753967,-0.0029078170341881,-0.0540672724219004,0.454386734613524,0.144299905226239,0,0.564907623022435,0.411994195268469,0.386258385549668,"11/02/2025"
"ID_1625","ID_1625.png",0.422460658494585,1.39323889002225,0.139444486503309,-0.00259769004682642,-0.0485535705369177,0.389818950603265,0.175811572816445,0,0.49404951169657,0.354605025193261,0.320802314919962,"29/01/2025"
"ID_1726","ID_1726.png",0.409441527088586,1.4390344853536,0.146656611362494,-0.0172359859090041,-0.00295730690669093,0.391346153846154,0.195546022553713,0.0032051282051282,0.480700100553042,0.334043489190548,0.359294871794872,"04/02/2025"
"ID_1944","ID_1944.png",0.406100361428942,1.31804041530026,0.0668205337690632,-0.0219781786722431,-0.160060216293965,0.227301198257081,0.0680600650903831,0,0.276921296296297,0.210100762527233,0.194881535947712,"29/01/2025"
"ID_5001","ID_5001.png",0.451470318222669,1.6381799948104,0.195648434812522,0.0280047364691003,0.192777870130945,0.370803950235065,0.141089427632239,0,0.502220932232542,0.306572497420021,0.303618421052632,"31/01/2025"
"ID_1355","ID_1355.png",0.40477314464169,1.34018945216891,0.157227911407478,-0.0130191278192133,-0.0730838478071234,0.510084411632399,0.198378400856916,0.0253036437246964,0.619405413987457,0.462177502579979,0.448670318329761,"03/02/2025"
"ID_6467","ID_6467.png",0.407183541691508,1.32926780581284,0.172114255901918,-0.00455805011803398,-0.0692581382849411,0.568811790791705,0.18096037647477,0.0514412416851441,0.694832398591366,0.522718142689448,0.4888848310943,"30/01/2025"
"ID_1102","ID_1102.png",0.434901701253749,1.56318052454962,0.204519744960921,0.0147544571369286,0.132838457242609,0.435095296860003,0.159584363775056,0,0.56767105443576,0.363151309474839,0.374463526669409,"25/02/2025"
"ID_9825","ID_9825.png",0.422969089013497,1.50553950368207,0.222333346057437,0.00863937470859577,0.0959501631295914,0.521809254381686,0.169281350018118,0.0173047804455981,0.662127554893902,0.439794208836465,0.463505999414692,"03/02/2025"
"ID_6347","ID_6347.png",0.409417075980035,1.38839876983859,0.0787682614257679,-0.0187728670942914,-0.0893159325762546,0.22924529304021,0.0710255024413473,0,0.281570812676127,0.202802551250359,0.203362515194143,"10/02/2025"
"ID_6433","ID_6433.png",0.457753038232946,1.55232170867444,0.156040186972622,0.0311081186788424,0.0946959354389256,0.319354903984298,0.132241582690723,0,0.438557032720209,0.282516845747587,0.236990833485097,"31/01/2025"
