ID,DSB_Score,SSB_Score,Scan_Count,adjusted_DSB,adjusted_SSB,OffspringCount,BirthSeason,DS,normDS
ID_1937,1,0,0,0,0,0,2021,-2.241666667,166.4932884
ID_6472,0,0,0,0,0,0,2012,-4.058333333,166.4878493
ID_2265,0,0,0,0,0,0,2022,-4.375,166.4869012
ID_1815,0,0,0,0,0,0,2018,-6.125,166.4816617
ID_1347,0,0,0,0,0,0,2007,-7.433333333,166.4777445
ID_8924,0,0,0,0,0,0,2017,-8.083333333,166.4757984
ID_6883,0,0,0,0,0,0,2012,-8.666666667,166.4740519
ID_9839,0,1,0,0,0,2,2014,-10.6125,166.468226
ID_8713,0,0,0,0,0,0,2020,-12.68333333,166.4620259
ID_2255,0,0,0,0,0,0,2021,-14.725,166.4559132
ID_3116,0,0,0,0,0,0,2021,-15.56011905,166.4534128
ID_9096,0,0,0,0,0,44,2004,-72.85654762,166.2818666
ID_2725,0,0,0,0,0,0,2018,-78.475,166.2650449
ID_9551,0,0,1,0,0,0,2020,NA,NA
ID_4177,0,1,1,0,NA,0,2012,NA,NA
ID_9136,0,0,1,0,0,0,2021,NA,NA
ID_6577,0,0,1,0,0,0,2021,NA,NA
ID_6886,0,1,1,0,NA,1,2014,NA,NA
ID_3583,0,2,1,0,NA,9,2011,NA,NA
ID_8704,2,0,1,NA,NA,0,2016,NA,NA
ID_6629,0,0,1,0,0,0,2017,NA,NA
ID_7338,0,1,1,0,NA,0,2016,NA,NA
ID_8247,0,3,1,0,NA,6,2017,NA,NA
ID_7088,0,4,1,0,NA,0,2017,NA,NA
ID_9678,0,1,1,0,NA,0,2014,NA,NA
ID_4206,0,1,1,0,NA,0,2014,NA,NA
ID_4905,0,2,1,0,NA,0,2017,NA,NA
ID_9115,0,2,1,0,NA,0,2017,NA,NA
ID_3800,0,2,1,0,NA,3,2015,NA,NA
ID_8821,0,0,1,0,0,0,2014,NA,NA
ID_9638,0,0,1,0,0,2,2014,7.833333333,166.5234531
ID_4054,0,0,1,NA,NA,1,2017,1.875,166.5056138
ID_1749,0,0,1,NA,NA,0,2017,-0.5,166.498503
ID_8279,0,0,1,0,0,0,2021,-1,166.497006
ID_4269,0,0,1,NA,NA,0,2006,-1.625,166.4951347
ID_6814,0,0,1,0,0,8,2007,-3.6,166.4892216
ID_2504,0,0,2,0,0,0,2019,NA,NA
ID_8467,0,1,2,0,3.321928095,6,2013,NA,NA
ID_5674,0,2,2,0,6.64385619,1,2014,NA,NA
ID_5226,0,1,2,0,3.321928095,5,2014,NA,NA
ID_2828,0,2,2,0,6.64385619,0,2014,NA,NA
ID_3368,0,0,2,0,0,0,2011,19.11190476,166.5572213
ID_5795,0,0,2,0,0,0,2019,5.746428571,166.5172049
ID_3713,0,0,2,0,0,0,2014,-2,166.494012
ID_7576,0,0,2,0,0,1,2016,-4.341666667,166.487001
ID_8470,0,0,2,0,0,0,2020,-6.608333333,166.4802146
ID_8458,0,0,2,0,0,0,2019,-8.275,166.4752246
ID_4371,0,3,2,0,9.965784285,2,2015,-9.333333333,166.4720559
ID_8874,1,2,2,3.321928095,6.64385619,0,2016,-10.29166667,166.4691866
ID_3332,1,0,2,3.321928095,0,0,2014,-10.87083333,166.4674526
ID_3435,0,3,2,0,9.965784285,0,2013,-12.85833333,166.461502
ID_3987,1,0,2,3.321928095,0,9,2014,-13.11666667,166.4607285
ID_2877,19,6,2,63.1166338,19.93156857,10,2009,-86.7577381,166.2402463
ID_9661,0,8,3,0,16.76722619,8,2013,NA,NA
ID_1323,0,3,3,0,6.287709823,12,2000,NA,NA
ID_2626,0,0,3,0,0,0,2016,NA,NA
ID_5774,0,2,3,0,4.191806549,0,2013,NA,NA
ID_6693,0,0,3,0,0,0,2013,NA,NA
ID_4881,0,0,3,0,0,0,2011,NA,NA
ID_9344,0,2,3,0,4.191806549,0,2011,NA,NA
ID_3152,1,0,3,2.095903274,0,8,2011,10.725,166.5321108
ID_3965,1,0,3,2.095903274,0,0,2019,5.691666667,166.5170409
ID_2788,1,1,3,2.095903274,2.095903274,0,2018,4.166666667,166.512475
ID_2713,2,1,3,4.191806549,2.095903274,0,2020,3.5,166.510479
ID_3194,0,0,3,0,0,11,2011,1.501984127,166.504497
ID_5194,0,0,3,0,0,0,2017,-1.246428571,166.4962682
ID_3129,0,0,3,0,0,0,2020,-13.61309524,166.4592422
ID_4930,0,0,3,0,0,0,2018,-29.52222222,166.4116101
ID_5165,2,0,4,3.321928095,0,1,2011,NA,NA
ID_3340,4,2,4,6.64385619,3.321928095,6,2008,NA,NA
ID_3823,0,2,4,0,3.321928095,2,2015,NA,NA
ID_5507,0,1,4,0,1.660964047,4,2013,NA,NA
ID_4742,0,0,4,0,0,0,2019,NA,NA
ID_8060,0,15,4,0,24.91446071,0,2015,NA,NA
ID_8753,0,3,4,0,4.982892142,0,2013,NA,NA
ID_7457,1,0,4,1.660964047,0,0,1996,NA,NA
ID_8091,0,0,4,0,0,4,2013,-6.166666667,166.4815369
ID_2535,1,4,4,1.660964047,6.64385619,0,2016,-17.93333333,166.4463074
ID_9086,0,1,4,0,1.660964047,6,2010,-83.96904762,166.2485957
ID_4824,0,6,5,0,8.584059348,2,2015,NA,NA
ID_2882,0,1,5,0,1.430676558,0,2017,NA,NA
ID_3643,0,3,5,0,4.292029674,0,2015,NA,NA
ID_3058,0,1,5,0,1.430676558,0,2013,NA,NA
ID_2463,0,1,5,0,1.430676558,10,2006,-3.5,166.489521
ID_6458,0,3,5,0,4.292029674,0,2014,-4.341666667,166.487001
ID_1373,0,4,5,0,5.722706232,0,2021,-24.9,166.4254491
ID_3227,9,1,6,11.56587488,1.285097209,3,2012,NA,NA
ID_7302,0,5,6,0,6.425486045,0,2013,-4.583333333,166.4862774
ID_9959,0,3,6,0,3.855291627,1,2016,-6.333333333,166.4810379
ID_9380,0,0,7,0,0,0,2016,3.208333333,166.5096058
ID_2980,5,2,7,5.916473312,2.366589325,0,2020,-37.00357143,166.3892109
ID_1064,2,0,7,2.366589325,0,4,2015,-54.4702381,166.3369155
ID_8127,0,0,8,0,0,16,2009,NA,NA
ID_6162,0,1,8,0,1.107309365,0,2010,NA,NA
ID_2552,0,4,8,0,4.42923746,3,2014,1,166.502994
ID_7688,2,0,8,2.21461873,0,0,2018,-3.5,166.489521
ID_6388,9,0,9,9.431564734,0,15,1998,NA,NA
ID_1068,0,0,9,0,0,4,2010,NA,NA
ID_1719,1,16,9,1.047951637,16.76722619,0,2013,NA,NA
ID_4581,0,3,9,0,3.143854911,0,2016,-1,166.497006
ID_1593,0,0,9,0,0,6,2013,-16.19761905,166.4515041
ID_2399,3,1,10,3,1,1,2011,NA,NA
ID_7761,1,1,10,1,1,13,2009,NA,NA
ID_6362,0,0,10,0,0,0,2015,NA,NA
ID_3697,1,3,10,1,3,1,2014,-0.866666667,166.4974052
ID_8414,0,6,11,0,5.761515407,0,2012,NA,NA
ID_5731,0,3,11,0,2.880757703,0,2012,NA,NA
ID_7736,0,0,12,0,0,6,2008,NA,NA
ID_8681,0,3,13,0,2.693135153,0,2015,0.341666667,166.501023
ID_6838,0,0,14,0,0,4,2007,NA,NA
ID_1854,0,2,14,0,1.745005739,0,2011,NA,NA
ID_9063,0,0,14,0,0,0,2018,2.670833333,166.5079965
ID_3361,0,3,14,0,2.617508609,0,2015,-6.975,166.4791168
ID_9843,0,2,14,0,1.745005739,0,2014,-9.833333333,166.4705589
ID_6391,3,7,15,2.550822461,5.951919076,0,2015,-16.09166667,166.4518214
ID_9887,5,1,15,4.251370769,0.850274154,0,2019,-19.45833333,166.4417415
ID_7217,1,0,16,0.830482024,0,0,2016,-2.758333333,166.4917415
ID_1982,0,5,16,0,4.152410119,1,2015,-13.325,166.4601048
ID_8413,4,10,17,3.250846037,8.127115093,1,2010,NA,NA
ID_7408,0,0,17,0,0,6,2004,-5.205555556,166.4844145
ID_1200,0,1,18,0,0.79663977,1,2008,NA,NA
